id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,happy|euphoric|bright,0.02,english
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020,chill|focused|mellow,0.85,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2010,aggressive|epic|driving,0.05,english
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2020,chill|rainy|calm,0.90,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020,energetic|hype|motivational,0.03,english
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010,dreamy|calm|spacey,0.95,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,2000,mellow|warm|nostalgic,0.60,instrumental
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2010,moody|nostalgic|nocturnal,0.40,instrumental
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,66,2020,focused|calm|study,0.88,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2010,happy|euphoric|sunny,0.10,english
11,Concrete Kingdom,MC Vantage,hip hop,confident,0.80,95,0.62,0.85,0.08,82,2020,confident|gritty|bold,0.06,english
12,Winter Adagio,Camille Rousseau,classical,melancholic,0.22,66,0.30,0.20,0.95,48,1990,melancholic|somber|elegant,0.98,instrumental
13,Neon Overdrive,Pulsewave,edm,energetic,0.95,128,0.78,0.92,0.03,85,2020,euphoric|energetic|hype,0.20,instrumental
14,Dust Road Home,Hank Rivers,country,nostalgic,0.50,100,0.55,0.60,0.72,58,2000,nostalgic|warm|wistful,0.30,english
15,Velvet Hours,Amara Soul,r&b,romantic,0.55,85,0.68,0.74,0.40,77,2010,romantic|smooth|sensual,0.15,english
16,Iron Verdict,Blacksteel,metal,aggressive,0.98,160,0.35,0.55,0.02,52,2010,aggressive|dark|intense,0.04,english
17,Paper Boats,Ellie Wren,folk,sad,0.30,82,0.28,0.45,0.90,45,2010,sad|wistful|tender,0.35,english
18,Island Time,Sunny Roots,reggae,carefree,0.60,96,0.80,0.83,0.45,63,2000,carefree|sunny|relaxed,0.25,english
